book,chapter,verse,verdict,note,vietnamese
JUD,1,16,FLAG,"The Vietnamese translation omits the word ""thaumazontes"" (marveling/wondering at), which describes how they look at people for profit.","Những kẻ nầy là kẻ lằm bằm, hay phàn nàn, sống theo lòng ham muốn của mình, miệng chúng nói những lời kiêu căng, và vì lợi ích mà nể mặt người ta."
JUD,1,17,OK,,"Nhưng anh em, là những người yêu dấu, hãy nhớ những lời đã được nói trước bởi các Sứ đồ của Chúa chúng ta là Chúa Giê-xu Đấng Christ."
JUD,1,18,FLAG,"The Vietnamese translation omits the fact that the Greek describes the people as ""walking according to their own desires"" (κατα τας εαυτων επιθυμιας πορευομενοι).",Họ nói với anh em rằng trong thời gian cuối cùng sẽ có những kẻ nhạo báng bước đi theo lòng ham muốn của sự vô đạo.
JUD,1,19,OK,,"Ấy chính chúng nó là kẻ gây nên phe đảng, thuộc về tánh xác thịt, không có Thánh Linh."
JUD,1,20,FLAG,"The Vietnamese mistranslates ""τη αγιωτατη υμων πιστει"" (by your most holy faith) as ""trên đức tin rất thánh của mình"" (on your very holy faith), changing the instrumental case to a locative/prepositional sense.","Hỡi những người yêu dấu, anh em hãy tự xây dựng mình trên đức tin rất thánh của mình, và cầu nguyện trong Đức Thánh Linh."
JUD,1,21,OK,,"Hãy giữ mình trong tình yêu thương của Đức Chúa Trời, trông đợi lòng thương xót của Chúa chúng ta là Chúa Giê-xu Đấng Christ để được sự sống đời đời."
JUD,1,22,FLAG,"The Greek word ""διακρινομενοι"" (diakrinomenoi) means ""judging/discriminating,"" not ""doubting.""",Hãy thương xót những kẻ đang nghi ngờ.
JUD,1,23,FLAG,"The Vietnamese translation fails to convey the negative particle ""δε"" (not), which indicates that they are NOT being saved by fear.","Hãy cứu họ với sự sợ hãi, giật họ ra khỏi lửa; ghét cả cái áo dài đã bị xác thịt làm ô uế."
JUD,1,24,FLAG,"The Vietnamese translation omits the word ""αμωμους"" (blameless/faultless) as a direct descriptor of the people standing before His glory.","Vả, nguyền Đấng có thể gìn giữ anh em khỏi vấp phạm và khiến anh em đứng trước mặt vinh hiển mình cách rất vui mừng, không chỗ trách được,"
JUD,1,25,FLAG,"The Vietnamese translation incorrectly describes God as ""one wise"" (khôn ngoan có một) instead of ""the only wise God"" (μονω σοφω θεω).","Kính dâng vinh hiển, uy nghi, quyền năng và quyền phép thuộc về Đức Chúa Trời khôn ngoan có một, là Đấng Cứu Thế của chúng ta, cả bây giờ và cho đến mọi đời đời. A-men."
