book,chapter,verse,stem,severity,categories,note,goi_vi,vie1934,wlc
DEU,10,9,005_DEU_010_009,green,clean,green:clean: No lint findings.,"Bởi vậy, người Lê-vi không có phần hay sản nghiệp cùng anh em mình; Đức Giê-hô-va là sản nghiệp của người, như chính Đức Giê-hô-va Đức Chúa Trời ngươi đã phán dạy người.","Bởi cớ đó, Lê-vi không phần, không nghiệp với anh em mình; Đức Giê-hô-va là cơ nghiệp của ngươi y như Giê-hô-va Đức Chúa Trời ngươi đã phán cùng người.",עַל כֵּ֞ן לֹֽא הָיָ֧ה לְלֵוִ֛י חֵ֥לֶק וְנַחֲלָ֖ה עִם אֶחָ֑יו יְהוָה֙ ה֣וּא נַחֲלָת֔וֹ כַּאֲשֶׁ֥ר דִּבֶּ֛ר יְהוָ֥ה אֱלֹהֶ֖יךָ לֽוֹ
DEU,10,10,005_DEU_010_010,green,clean,green:clean: No lint findings.,"Ta đã đứng trên núi như những ngày đầu tiên, bốn mươi ngày và bốn mươi đêm; Đức Giê-hô-va đã nhậm lời ta trong lần ấy, và Đức Giê-hô-va không muốn hủy diệt ngươi.","Vậy, ta ở trên núi trong bốn mươi ngày và bốn mươi đêm như lần đầu, và lần nầy Đức Giê-hô-va lại nhậm lời ta, bằng lòng không diệt ngươi.",וְאָנֹכִ֞י עָמַ֣דְתִּי בָהָ֗ר כַּיָּמִים֙ הָרִ֣אשֹׁנִ֔ים אַרְבָּעִ֣ים י֔וֹם וְאַרְבָּעִ֖ים לָ֑יְלָה וַיִּשְׁמַ֨ע יְהוָ֜ה אֵלַ֗י גַּ֚ם בַּפַּ֣עַם הַהִ֔וא לֹא אָבָ֥ה יְהוָ֖ה הַשְׁחִיתֶֽךָ
DEU,10,11,005_DEU_010_011,green,clean,green:clean: No lint findings.,"Đức Giê-hô-va phán cùng tôi rằng: “Hãy đứng dậy, đi trước mặt dân sự, để họ vào và nhận lấy đất mà Ta đã thề ban cho tổ phụ họ.”","Nhưng Đức Giê-hô-va phán cùng ta rằng: Hãy đứng dậy, đi đầu dân sự, đặng chúng nó vào nhận lấy xứ mà ta đã thề cùng tổ phụ chúng nó, để ban cho chúng nó.",וַיֹּ֤אמֶר יְהוָה֙ אֵלַ֔י ק֛וּם לֵ֥ךְ לְמַסַּ֖ע לִפְנֵ֣י הָעָ֑ם וְיָבֹ֨אוּ֙ וְיִֽרְשׁ֣וּ אֶת הָאָ֔רֶץ אֲשֶׁר נִשְׁבַּ֥עְתִּי לַאֲבֹתָ֖ם לָתֵ֥ת לָהֶֽם
DEU,10,12,005_DEU_010_012,green,clean,green:clean: No lint findings.,"Vậy, hỡi Y-sơ-ra-ên, bây giờ Đức Giê-hô-va Đức Chúa Trời ngươi đòi ngươi điều gì, nếu không phải là kính sợ Đức Giê-hô-va Đức Chúa Trời ngươi, đi trong mọi con đường của Ngài, yêu mến Ngài, và phục sự Đức Giê-hô-va Đức Chúa Trời ngươi hết lòng, hết linh hồn ngươi?","Vậy, hỡi Y-sơ-ra-ên, bây giờ Giê-hô-va Đức Chúa Trời ngươi đòi ngươi điều chi? há chẳng phải đòi ngươi kính sợ Giê-hô-va, Đức Chúa Trời ngươi, đi theo các đạo Ngài, hết lòng hết ý kính mến và phục sự Giê-hô-va Đức Chúa Trời ngươi,",וְעַתָּה֙ יִשְׂרָאֵ֔ל מָ֚ה יְהוָ֣ה אֱלֹהֶ֔יךָ שֹׁאֵ֖ל מֵעִמָּ֑ךְ כִּ֣י אִם לְ֠יִרְאָה אֶת יְהוָ֨ה אֱלֹהֶ֜יךָ לָלֶ֤כֶת בְּכָל דְּרָכָיו֙ וּלְאַהֲבָ֣ה אֹת֔וֹ וְלַֽעֲבֹד֙ אֶת יְהוָ֣ה אֱלֹהֶ֔יךָ בְּכָל לְבָבְךָ֖ וּבְכָל נַפְשֶֽׁךָ
DEU,10,13,005_DEU_010_013,green,clean,green:clean: No lint findings.,"giữ các điều răn và luật lệ của Đức Giê-hô-va mà ta truyền cho ngươi ngày nay, để ngươi được phước.","giữ các điều răn và luật lệ của Đức Giê-hô-va, mà ta truyền cho ngươi ngày nay, để ngươi được phước?",לִשְׁמֹ֞ר אֶת מִצְוֺ֤ת יְהוָה֙ וְאֶת חֻקֹּתָ֔יו אֲשֶׁ֛ר אָנֹכִ֥י מְצַוְּךָ֖ הַיּ֑וֹם לְט֖וֹב לָֽךְ
DEU,10,14,005_DEU_010_014,green,clean,green:clean: No lint findings.,"Kìa, trời, các tầng trời cao nhất, đất và mọi vật ở trong đó đều thuộc về Đức Giê-hô-va Đức Chúa Trời ngươi.","Kìa, trời và các từng trời cao hơn trời, đất và mọi vật ở nơi đất đều thuộc về Giê-hô-va Đức Chúa Trời ngươi.",הֵ֚ן לַיהוָ֣ה אֱלֹהֶ֔יךָ הַשָּׁמַ֖יִם וּשְׁמֵ֣י הַשָּׁמָ֑יִם הָאָ֖רֶץ וְכָל אֲשֶׁר בָּֽהּ
DEU,10,15,005_DEU_010_015,green,clean,green:clean: No lint findings.,"Chỉ Đức Giê-hô-va yêu mến tổ phụ các ngươi và chọn dòng dõi họ sau họ, tức là các ngươi, giữa mọi dân tộc, như ngày nay.","Chỉn Đức Giê-hô-va ưa-đẹp các tổ phụ ngươi và yêu mến; rồi trong muôn dân, Ngài đã chọn dòng dõi họ, tức là các ngươi, y như các ngươi thấy ngày nay.",רַ֧ק בַּאֲבֹתֶ֛יךָ חָשַׁ֥ק יְהוָ֖ה לְאַהֲבָ֣ה אוֹתָ֑ם וַיִּבְחַ֞ר בְּזַרְעָ֣ם אַחֲרֵיהֶ֗ם בָּכֶ֛ם מִכָּל הָעַמִּ֖ים כַּיּ֥וֹם הַזֶּה
LEV,18,6,003_LEV_018_006,green,clean,green:clean: No lint findings.,Chớ ai trong các ngươi đến gần bất cứ người bà con huyết thống nào để phơi bày sự trần truồng: Ta là Đức Giê-hô-va.,Chớ một ai trong vòng các ngươi đến gần cùng người nữ bà con mình đặng cấu hiệp: Ta là Đức Giê-hô-va.,אִ֥ישׁ אִישׁ֙ אֶל כָּל שְׁאֵ֣ר בְּשָׂר֔וֹ לֹ֥א תִקְרְב֖וּ לְגַלּ֣וֹת עֶרְוָ֑ה אֲנִ֖י יְהוָֽה
LEV,18,7,003_LEV_018_007,green,clean,green:clean: No lint findings.,"Chớ tiết lộ sự trần truồng của cha ngươi và sự trần truồng của mẹ ngươi; mẹ ngươi là mẹ ngươi, ngươi chớ tiết lộ sự trần truồng của bà ấy.","Chớ cấu hiệp cùng mẹ mình; bằng cấu hiệp, tất làm nhục cho cha mẹ.",עֶרְוַ֥ת אָבִ֛יךָ וְעֶרְוַ֥ת אִמְּךָ֖ לֹ֣א תְגַלֵּ֑ה אִמְּךָ֣ הִ֔וא לֹ֥א תְגַלֶּ֖ה עֶרְוָתָֽהּ
LEV,18,8,003_LEV_018_008,green,clean,green:clean: No lint findings.,Chớ tiết lộ sự trần truồng của vợ người cha ngươi; ấy là sự trần truồng của chính người cha ngươi.,"Chớ cấu hiệp cùng kế mẫu, bằng cấu hiệp, ấy làm nhục cho cha mình.",עֶרְוַ֥ת אֵֽשֶׁת אָבִ֖יךָ לֹ֣א תְגַלֵּ֑ה עֶרְוַ֥ת אָבִ֖יךָ הִֽוא
LEV,18,9,003_LEV_018_009,green,clean,green:clean: No lint findings.,"Chớ phơi bày sự trần truồng của chị em ngươi, con gái của cha ngươi hay con gái của mẹ ngươi, sinh trong nhà hay sinh ngoài nhà.","Chớ cấu hiệp cùng chị em mình, hoặc một cha khác mẹ, hoặc một mẹ khác cha, hoặc sanh tại trong nhà, hoặc sanh ở ngoài.",עֶרְוַ֨ת אֲחֽוֹתְךָ֤ בַת אָבִ֨יךָ֙ א֣וֹ בַת אִמֶּ֔ךָ מוֹלֶ֣דֶת בַּ֔יִת א֖וֹ מוֹלֶ֣דֶת ח֑וּץ לֹ֥א תְגַלֶּ֖ה עֶרְוָתָֽן
LEV,18,10,003_LEV_018_010,green,clean,green:clean: No lint findings.,Chớ tiết lộ sự trần truồng của cháu gái nội hoặc cháu gái ngoại ngươi; vì sự trần truồng của chúng là sự trần truồng của chính ngươi.,"Chớ cấu hiệp cùng cháu gái, hoặc cháu gái nội, hoặc cháu gái ngoại; bằng cấu hiệp, ấy là gây nhục cho mình.",עֶרְוַ֤ת בַּת בִּנְךָ֙ א֣וֹ בַֽת בִּתְּךָ֔ לֹ֥א תְגַלֶּ֖ה עֶרְוָתָ֑ן כִּ֥י עֶרְוָתְךָ֖ הֵֽנָּה
LEV,18,11,003_LEV_018_011,green,clean,green:clean: No lint findings.,"Chớ phơi bày sự trần truồng của con gái vợ cha ngươi, là người do cha ngươi sinh ra; nàng là chị em ngươi, ngươi không được phơi bày sự trần truồng của nàng.","Chớ cấu hiệp cùng con gái của kế mẫu bởi cha mình sanh ra, vì là em gái ngươi.",עֶרְוַ֨ת בַּת אֵ֤שֶׁת אָבִ֨יךָ֙ מוֹלֶ֣דֶת אָבִ֔יךָ אֲחוֹתְךָ֖ הִ֑וא לֹ֥א תְגַלֶּ֖ה עֶרְוָתָֽהּ
LEV,18,12,003_LEV_018_012,green,clean,green:clean: No lint findings.,Chớ phơi bày sự trần truồng của chị em ruột của cha ngươi; ấy là huyết nhục của cha ngươi.,Chớ cấu hiệp cùng chị em của cha ngươi; vì là cốt nhục của cha ngươi.,עֶרְוַ֥ת אֲחוֹת אָבִ֖יךָ לֹ֣א תְגַלֵּ֑ה שְׁאֵ֥ר אָבִ֖יךָ הִֽוא
LEV,18,13,003_LEV_018_013,green,clean,green:clean: No lint findings.,Chớ phơi bày sự trần truồng của chị em ruột của mẹ ngươi; vì nàng là huyết nhục của mẹ ngươi.,Chớ cấu hiệp cùng chị em của mẹ ngươi; vì là cốt nhục của mẹ ngươi.,עֶרְוַ֥ת אֲחֽוֹת אִמְּךָ֖ לֹ֣א תְגַלֵּ֑ה כִּֽי שְׁאֵ֥ר אִמְּךָ֖ הִֽוא
LEV,18,14,003_LEV_018_014,green,clean,green:clean: No lint findings.,"Chớ phơi bày sự trần truồng của anh em cha ngươi; chớ đến gần vợ người ấy, vì nàng là vợ của anh em cha ngươi.","Chớ cấu hiệp cùng bác gái hay thím ngươi; bằng cấu hiệp, ấy là gây nhục cho anh em của cha ngươi.",עֶרְוַ֥ת אֲחִֽי אָבִ֖יךָ לֹ֣א תְגַלֵּ֑ה אֶל אִשְׁתּוֹ֙ לֹ֣א תִקְרָ֔ב דֹּדָֽתְךָ֖ הִֽוא
LEV,18,15,003_LEV_018_015,green,clean,green:clean: No lint findings.,"Chớ phơi bày sự trần truồng của con dâu ngươi; nàng là vợ của con trai ngươi, chớ phơi bày sự trần truồng của nàng.",Chớ cấu hiệp cùng dâu ngươi; vì là vợ của con trai mình.,עֶרְוַ֥ת כַּלָּֽתְךָ֖ לֹ֣א תְגַלֵּ֑ה אֵ֤שֶׁת בִּנְךָ֙ הִ֔וא לֹ֥א תְגַלֶּ֖ה עֶרְוָתָֽהּ
ISA,52,13,023_ISA_052_013,green,clean,green:clean: No lint findings.,"Kìa, tôi tớ Ta sẽ hành động khôn ngoan; người sẽ được nâng cao, được tôn lên, và được tôn cao vượt bậc.","Nầy, tôi tớ ta sẽ làm cách khôn ngoan; sẽ được tôn lên, dấy lên, và rất cao trọng.",הִנֵּ֥ה יַשְׂכִּ֖יל עַבְדִּ֑י יָר֧וּם וְנִשָּׂ֛א וְגָבַ֖הּ מְאֹֽד
ISA,52,14,023_ISA_052_014,green,clean,green:clean: No lint findings.,"Như nhiều kẻ đã kinh hãi về người, bộ dạng người bị biến dạng hơn bất cứ ai, và hình dung người khác hơn con trai loài người.","Như nhiều kẻ thấy ngươi mà lấy làm lạ (mặt mày người xài-xể lắm hơn kẻ nào khác, hình dung xài-xể hơn con trai loài người),",כַּאֲשֶׁ֨ר שָׁמְמ֤וּ עָלֶ֨יךָ֙ רַבִּ֔ים כֵּן מִשְׁחַ֥ת מֵאִ֖ישׁ מַרְאֵ֑הוּ וְתֹאֲר֖וֹ מִבְּנֵ֥י אָדָֽם
ISA,52,15,023_ISA_052_015,green,clean,green:clean: No lint findings.,"Cũng vậy, người sẽ vảy rửa nhiều dân; các vua sẽ ngậm miệng lại vì cớ người, vì điều chưa ai thuật cho họ, họ sẽ thấy, và điều họ chưa từng nghe, họ sẽ hiểu.","thì cũng vậy người sẽ vảy rửa nhiều dân, và các vua ngậm miệng lại vì người; vì họ sẽ thấy điều chưa ai nói cho mình, và sẽ hiểu biết điều mình chưa hề nghe.",כֵּ֤ן יַזֶּה֙ גּוֹיִ֣ם רַבִּ֔ים עָלָ֛יו יִקְפְּצ֥וּ מְלָכִ֖ים פִּיהֶ֑ם כִּ֠י אֲשֶׁ֨ר לֹֽא סֻפַּ֤ר לָהֶם֙ רָא֔וּ וַאֲשֶׁ֥ר לֹֽא שָׁמְע֖וּ הִתְבּוֹנָֽנוּ
ISA,53,1,023_ISA_053_001,green,clean,green:clean: No lint findings.,"Ai tin nơi điều chúng tôi rao giảng, và cánh tay của Đức Giê-hô-va đã được tỏ ra cho ai?","Ai tin điều đã rao truyền cho chúng ta, và cánh tay Đức Giê-hô-va đã được tỏ ra cho ai?",מִ֥י הֶאֱמִ֖ין לִשְׁמֻעָתֵ֑נוּ וּזְר֥וֹעַ יְהוָ֖ה עַל מִ֥י נִגְלָֽתָה
ISA,53,2,023_ISA_053_002,green,clean,green:clean: No lint findings.,"Người đã mọc lên như một chồi non trước mặt Ngài, như một rễ từ đất khô; chẳng có hình dạng, chẳng có vẻ đẹp; khi chúng ta thấy Người, chẳng có điều gì khiến chúng ta ưa thích.","Người đã lớn lên trước mặt Ngài như một cái chồi, như cái rễ ra từ đất khô. Người chẳng có hình dung, chẳng có sự đẹp đẽ; khi chúng ta thấy người, không có sự tốt đẹp cho chúng ta ưa thích được.",וַיַּ֨עַל כַּיּוֹנֵ֜ק לְפָנָ֗יו וְכַשֹּׁ֨רֶשׁ֙ מֵאֶ֣רֶץ צִיָּ֔ה לֹא תֹ֥אַר ל֖וֹ וְלֹ֣א הָדָ֑ר וְנִרְאֵ֥הוּ וְלֹֽא מַרְאֶ֖ה וְנֶחְמְדֵֽהוּ
ISA,53,3,023_ISA_053_003,green,clean,green:clean: No lint findings.,"Người bị khinh bỉ và bị loài người ruồng bỏ, là người đau khổ, quen thuộc với bệnh tật; như người mà người ta che mặt tránh đi, Người bị khinh bỉ, và chúng ta chẳng coi Người ra gì.","Người đã bị người ta khinh dể và chán bỏ, từng trải sự buồn bực, biết sự đau ốm, bị khinh như kẻ mà người ta che mặt chẳng thèm xem; chúng ta cũng chẳng coi người ra gì.",נִבְזֶה֙ וַחֲדַ֣ל אִישִׁ֔ים אִ֥ישׁ מַכְאֹב֖וֹת וִיד֣וּעַ חֹ֑לִי וּכְמַסְתֵּ֤ר פָּנִים֙ מִמֶּ֔נּוּ נִבְזֶ֖ה וְלֹ֥א חֲשַׁבְנֻֽהוּ
ISA,53,4,023_ISA_053_004,green,clean,green:clean: No lint findings.,"Thật vậy, chính Người đã mang lấy bệnh tật của chúng ta, và gánh chịu nỗi đau của chúng ta; còn chúng ta thì lại cho rằng Người bị Đức Chúa Trời đánh phạt, bị đánh đập và làm cho khốn khổ.","Thật người đã mang sự đau ốm của chúng ta, đã gánh sự buồn bực của chúng ta; mà chúng ta lại tưởng rằng người đã bị Đức Chúa Trời đánh và đập, và làm cho khốn khổ.",אָכֵ֤ן חֳלָיֵ֨נוּ֙ ה֣וּא נָשָׂ֔א וּמַכְאֹבֵ֖ינוּ סְבָלָ֑ם וַאֲנַ֣חְנוּ חֲשַׁבְנֻ֔הוּ נָג֛וּעַ מֻכֵּ֥ה אֱלֹהִ֖ים וּמְעֻנֶּֽה
ISA,53,5,023_ISA_053_005,green,clean,green:clean: No lint findings.,"Nhưng chính Người bị đâm vì tội lỗi chúng ta, bị nghiền nát vì sự gian ác chúng ta; sự sửa trị đem lại sự bình an cho chúng ta đã giáng trên Người, và bởi những vết thương của Người, chúng ta được chữa lành.","Nhưng người đã vì tội lỗi chúng ta mà bị vết, vì sự gian ác chúng ta mà bị thương. Bởi sự sửa phạt người chịu chúng ta được bình an, bởi lằn roi người chúng ta được lành bịnh.",וְהוּא֙ מְחֹלָ֣ל מִפְּשָׁעֵ֔נוּ מְדֻכָּ֖א מֵעֲוֺנֹתֵ֑ינוּ מוּסַ֤ר שְׁלוֹמֵ֨נוּ֙ עָלָ֔יו וּבַחֲבֻרָת֖וֹ נִרְפָּא לָֽנוּ
ISA,53,6,023_ISA_053_006,green,clean,green:clean: No lint findings.,"Chúng ta thảy đều như chiên đi lạc, mỗi người theo đường riêng mình; Đức Giê-hô-va đã chất trên Người tội lỗi của hết thảy chúng ta.","Chúng ta thảy đều như chiên đi lạc, ai theo đường nấy; Đức Giê-hô-va đã làm cho tội lỗi của hết thảy chúng ta đều chất trên người.",כֻּלָּ֨נוּ֙ כַּצֹּ֣אן תָּעִ֔ינוּ אִ֥ישׁ לְדַרְכּ֖וֹ פָּנִ֑ינוּ וַֽיהוָה֙ הִפְגִּ֣יעַ בּ֔וֹ אֵ֖ת עֲוֺ֥ן כֻּלָּֽנוּ
ISA,53,7,023_ISA_053_007,green,clean,green:clean: No lint findings.,"Người bị áp bức và chịu khốn khổ, nhưng không mở miệng mình; như chiên bị dắt đi đến nơi giết, như chiên cái câm lặng trước mặt kẻ xén lông nó, Người không mở miệng mình.","Người bị hiếp đáp, nhưng khi chịu sự khốn khổ chẳng hề mở miệng. Như chiên con bị dắt đến hàng làm thịt, như chiên câm ở trước mặt kẻ hớt lông, người chẳng từng mở miệng.",נִגַּ֨שׂ וְה֣וּא נַעֲנֶה֮ וְלֹ֣א יִפְתַּח פִּיו֒ כַּשֶּׂה֙ לַטֶּ֣בַח יוּבָ֔ל וּכְרָחֵ֕ל לִפְנֵ֥י גֹזְזֶ֖יהָ נֶאֱלָ֑מָה וְלֹ֥א יִפְתַּ֖ח פִּֽיו
PRO,10,1,020_PRO_010_001,green,clean,green:clean: No lint findings.,Con trai khôn làm cho cha vui vẻ; còn con trai dại làm buồn lòng mẹ nó.,Con trai khôn ngoan làm vui cha mình; Nhưng đứa ngu muội gây buồn cho mẹ nó.,מִשְׁלֵ֗י שְׁלֹ֫מֹ֥ה בֵּ֣ן חָ֭כָם יְשַׂמַּח אָ֑ב וּבֵ֥ן כְּ֝סִ֗יל תּוּגַ֥ת אִמּֽוֹ
PRO,10,2,020_PRO_010_002,green,clean,green:clean: No lint findings.,"Của cải gian ác chẳng sinh ích lợi chi, nhưng sự công bình cứu chuộc khỏi sự chết.",Của phi nghĩa chẳng được ích chi; Song sự công bình giải cứu khỏi chết.,לֹא י֭וֹעִילוּ אוֹצְר֣וֹת רֶ֑שַׁע וּ֝צְדָקָ֗ה תַּצִּ֥יל מִמָּֽוֶת
PRO,10,3,020_PRO_010_003,green,clean,green:clean: No lint findings.,"Đức Giê-hô-va không để linh hồn người công bình chịu đói; nhưng sự tham muốn của kẻ ác, Ngài sẽ làm cho tiêu tan.",Đức Giê-hô-va không để linh hồn người công bình chịu đói khát; Nhưng Ngài xô đuổi sự ước ao của kẻ ác đi.,לֹֽא יַרְעִ֣יב יְ֭הוָה נֶ֣פֶשׁ צַדִּ֑יק וְהַוַּ֖ת רְשָׁעִ֣ים יֶהְדֹּֽף
PRO,10,4,020_PRO_010_004,green,clean,green:clean: No lint findings.,Tay biếng nhác làm cho nghèo khổ; nhưng tay siêng năng làm cho được giàu có.,Kẻ làm việc tay biếng nhác trở nên nghèo hèn; Còn tay kẻ siêng năng làm cho được giàu có.,רָ֗אשׁ עֹשֶׂ֥ה כַף רְמִיָּ֑ה וְיַ֖ד חָרוּצִ֣ים תַּעֲשִֽׁיר
