book,chapter,verse,issues
GEN,11,12,"name_swap: The Hebrew name אַרְפַּכְשַׁד (Arpachshad) is rendered as '以法朔' (Yifa Shuo), which is not the standard Chinese transliteration for Arpachshad (usually 亞法撒 or 亞法撒德). This could cause a reader to identify a different person."
GEN,11,31,"mistranslation: The Hebrew 'מֵאוּר כַּשְׂדִּים' means 'from Ur of the Chaldeans' (a place name, Ur). The Chinese renders it as '從迦勒底人的火地' ('from the fire-land of the Chaldeans'), interpreting 'אוּר' (Ur) as the Hebrew word for 'fire' rather than as the city name. This changes the proper name/place name and the meaning of the verse."
GEN,14,2,name_swap: 蛾摩拉王的名字是比爾沙（בִּרְשַׁע），但中文譯為「比書亞人」，這不是名字，且「人」字是添加的，應為「比爾沙」。
GEN,14,3,"name_swap: The Hebrew place name is 'עֵמֶק הַשִּׂדִּים' (Emek HaSiddim, 'Valley of Siddim'), but the Chinese renders it as '西底們谷' (Xidimen Valley), which appears to be a corruption or misreading of the name (adding '們' and altering the transliteration). The correct transliteration should be something like '西訂谷' or '西丁谷'."
GEN,14,5,"mistranslation: The Hebrew 'בְּעַשְׁתְּרֹת קַרְנַיִם' is a place name (Ashtaroth-karnaim), not '亞斯他錄雙角神像' (the double-horned idol of Ashtaroth). This changes the meaning from a location to an idol.; mistranslation: The Hebrew 'בְּהָם' is a place name (Ham), not '含' (Ham the person, Noah's son). The Chinese renders it as a personal name, changing the location to a person.; mistranslation: The Hebrew 'בְּשָׁוֵה קִרְיָתַיִם' is a place name (Shaveh-kiriathaim), not '在沙威的基列亞音' (in Shaveh of Gilead-ain). The Chinese adds '基列' (Gilead) which is not in the Hebrew, and '亞音' is not a correct rendering of 'קִרְיָתַיִם' (Kiriathaim)."
GEN,16,8,"mistranslation: The Hebrew text has the angel speaking to Hagar: 'Hagar, Sarai's maidservant, where have you come from and where are you going?' The Chinese rendering incorrectly attributes this question to Hagar herself ('夏甲，撒萊的婢女說：「我從哪裡來？要往哪裡去呢？」'), making Hagar ask the question of herself, whereas in the Hebrew it is the angel (or messenger of the LORD) addressing Hagar. This changes who is speaking and to whom, a substantive error in person and speaker attribution."
GEN,16,11,"mistranslation: The Hebrew 'עָנְיֵךְ' means 'your affliction/misery' (abstract noun), but the Chinese renders it as '你的困苦人' ('your afflicted person'), adding the word '人' (person) which is not in the Hebrew and changes the meaning from the state of affliction to a person."
GEN,16,13,"mistranslation: The Hebrew 'אֵל רֳאִי' means 'God of seeing' or 'God who sees me', not '看臺的神' (God of the watchtower). The Chinese rendering changes the meaning from God who sees to a place of watching.; mistranslation: The phrase 'הֲגַם הֲלֹם רָאִיתִי אַחֲרֵי רֹאִי' is rendered as '我豈不是在看臺之後還看見了嗎？' which misinterprets 'אַחֲרֵי רֹאִי' (after the one who sees me) as 'after the watchtower'. The correct meaning is 'Have I also seen after the one who sees me?' or 'Have I even seen here after seeing him?'"
GEN,16,14,"name_swap: The Hebrew place name בָּרֶד (Bered) is transliterated as 別列人 ('people of Bered'), adding 人 ('people') which is not in the Hebrew; the Hebrew simply says 'between Kadesh and Bered' (בֵין קָדֵשׁ וּבֵין בָּרֶד). The Chinese rendering '別列人之間' implies 'between the people of Bered,' which changes the meaning from a location to a group of people."
GEN,19,20,"mistranslation: Hebrew מִצְעָר (Mitsar) is a proper place name, the city of Zoar, not the common adjective 'small' (小者). The Chinese renders it as '小者' (a small one), losing the proper name and changing the meaning."
GEN,19,25,"mistranslation: The Hebrew 'הֶעָרִים הָאֵל' means 'these cities' (referring to Sodom and Gomorrah), but the Chinese renders '那些城' (those cities), which is acceptable. However, 'כָּל הַכִּכָּר' means 'all the plain' (the entire region/valley), but the Chinese translates it as '全塊餅' (the whole piece of bread), which is a mistranslation. 'הַכִּכָּר' here is the plain/valley, not a loaf of bread. This changes the meaning substantively.; mistranslation: The Hebrew 'וְצֶמַח הָאֲדָמָה' means 'and the vegetation of the ground' (what grows from the soil), but the Chinese renders '以及田地的枝子' (and the branches of the field), which is inaccurate. 'צֶמַח' means vegetation/plant growth, not 'branches' (枝子). This alters the meaning of what was overturned."
GEN,19,29,"mistranslation: The Hebrew phrase 'עָרֵי הַכִּכָּר' means 'cities of the plain' (referring to the Jordan Valley/plain), but the Chinese renders it as '餅塊的城' ('cities of the cake/loaf'), which is a mistranslation of 'הַכִּכָּר' (the plain/valley) as '餅塊' (cake/loaf). This changes the meaning of the verse."
GEN,19,33,"mistranslation: The Hebrew 'הַבְּכִירָה' means 'the firstborn (daughter)', but the Chinese renders it as '長子份' which is ambiguous and could be read as 'the firstborn's portion' rather than 'the firstborn daughter'. This changes the subject of the action."
GEN,19,34,"mistranslation: The Hebrew 'נַשְׁקֶנּוּ יַיִן' means 'let us make him drink wine' (give him wine to drink). The Chinese '用酒類使他喝醉' adds '使他喝醉' (make him drunk), which is an interpretive addition; the Hebrew only says 'make him drink wine' without explicitly stating the purpose of drunkenness in this clause."
GEN,21,23,"mistranslation: The Hebrew 'וְעִם הָאָרֶץ אֲשֶׁר גַּרְתָּה בָּהּ' means 'and with the land where you have sojourned' — i.e., the kindness is to be shown both to the speaker and to the land. The Chinese renders this as '就是你在這地寄居時我所施予你的' ('that is, what I showed you when you sojourned in this land'), which changes the meaning: it makes the clause refer to past kindness received by the addressee, rather than a future obligation to the land. This is a substantive shift in who is to receive the kindness and the temporal reference."
GEN,21,30,"addition: The Chinese adds '作為我與會眾之間的證據' (as evidence between me and the assembly), but the Hebrew says 'תִּהְיֶה לִּי לְעֵדָה' (it shall be for me as a witness/evidence), without mentioning '會眾' (assembly). The addition of '與會眾之間' (between me and the assembly) introduces a concept not present in the Hebrew."
GEN,22,16,"mistranslation: The Hebrew 'וְלֹא חָשַׂכְתָּ' means 'and you did not withhold/spare' (your son), but the Chinese renders it as '沒有留下' ('did not leave/keep'), which shifts the meaning from 'withholding/sparing' to 'leaving behind'. This changes the nuance of the verse's claim about Abraham's action."
GEN,22,22,"name_swap: The Hebrew has four personal names (כֶּשֶׂד, חֲזוֹ, פִּלְדָּשׁ, יִדְלָף) and one place/personal name (בְּתוּאֵל). The Chinese renders חֲזוֹ as '哈佐人' and יִדְלָף as '雅大拉弗人', adding '人' (people) which is not in the Hebrew, and '雅大' is an extra syllable not present in the Hebrew name. Also '別土耳勒' for בְּתוּאֵל is a transliteration error (should be '彼土利' or similar), and the added '人' changes the meaning from a person's name to a people group."
GEN,23,1,"mistranslation: The Hebrew phrase 'חַיֵּי שָׂרָה' means 'the life of Sarah' or 'the years of Sarah's life', but the Chinese renders it as '撒拉的活物' ('Sarah's living creatures'), which is a mistranslation. '活物' means 'living creature/animal', not 'life' or 'lifespan'. The correct rendering should be '撒拉的一生' or '撒拉的歲數'."
GEN,23,8,"name_swap: The Hebrew 'בֶּן צֹחַר' means 'son of Zohar', but the Chinese renders it as '閃光的兒子' ('son of Shining/Flash'), which is a mistranslation of the proper name 'Zohar' as a common adjective rather than a personal name."
GEN,25,4,"name_swap: The Hebrew lists the fifth son as אֶלְדָּעָה (Eldaah), but the Chinese renders it as 以拉達 (Yilada), which is a different name. The correct transliteration should be 以勒大 or similar, not 以拉達."
GEN,25,17,"mistranslation: Hebrew says 137 years (מְאַת שָׁנָה וּשְׁלֹשִׁים שָׁנָה וְשֶׁבַע שָׁנִים = 100 + 30 + 7), but Chinese says 二百三十年又七年 (237 years). The number is wrong."
GEN,26,34,"name_swap: The Hebrew name בְּאֵרִי (Beeri) is rendered as '比以利' (Bǐyǐlì), which is a mis-transliteration; the standard Chinese rendering should be '比珥利' or similar, but more importantly the name is not '比以利'.; mistranslation: The Hebrew אֵילֹן (Elon) is a personal name (Elon the Hittite), not '以倫樹林' (Elon forest/woodland). The Chinese adds '樹林' (forest) which is not in the Hebrew and changes the proper name into a place description."
GEN,28,5,"name_swap: The Hebrew says 'בֶּן בְּתוּאֵל הָאֲרַמִּי' (son of Bethuel the Aramean), but the Chinese renders it as '亞蘭人別土耳勒的兒子' (son of Bethuel the Aramean). The name 'בְּתוּאֵל' is transliterated as '別土耳勒' which appears to be a garbled or incorrect transliteration (should be something like '彼土利' or '比土利'), and the order '亞蘭人別土耳勒' places 'Aramean' before the name, whereas the Hebrew has 'Bethuel the Aramean' (name then gentilic). This could confuse the reader about the identity of Bethuel."
GEN,28,13,"addition: The Chinese adds '梯子以上' (above the ladder), but the Hebrew only says 'standing upon him/it' (נִצָּב עָלָיו), referring to the ladder or the place, not explicitly 'above the ladder'."
GEN,29,34,"mistranslation: The Hebrew says 'she called his name Levi' (קָרָא שְׁמוֹ לֵוִי), but the Chinese renders it as '利未人' (a Levite person), adding the suffix 人 which changes the meaning from the personal name Levi to a demonym/group designation."
GEN,30,13,"name_swap: The Hebrew says she named him 'Asher' (אָשֵׁר), but the Chinese adds '支派' (tribe), which is not in the Hebrew text and changes the name to 'Asher tribe' rather than just the personal name 'Asher'."
GEN,31,38,"mistranslation: The Hebrew 'רְחֵלֶיךָ' means 'your ewes' (female sheep), but the Chinese renders it as '你的拉結' (your Rachel), treating the common noun as the personal name Rachel. This changes the meaning from livestock to a person."
GEN,32,13,"omission: The Hebrew 'וַיִּקַּח מִן הַבָּא בְיָדוֹ' means 'he took from what came into his hand' (i.e., from what he had with him), but the Chinese '從他手中拿了一份' says 'took a portion from his hand,' which changes the subject/possession: in Hebrew, the items are in Jacob's hand (his possession), not in Esau's hand. The Chinese could be misread as taking from Esau's hand, altering who possesses the gift."
GEN,34,25,"name_swap: 底娜 is a transliteration of Dinah, but the Hebrew has דִינָה (Dinah), which is correct; however, the Chinese renders '利未人底娜的弟兄' as 'Levi, Dinah's brother', but the Hebrew says 'שמעון ולוי אחי דינה' meaning 'Simeon and Levi, Dinah's brothers' (plural). The Chinese only mentions Levi as Dinah's brother, omitting Simeon from the appositive relationship, and the phrasing '利未人' (Levi person) is odd but not a name swap. The main issue is the omission of Simeon as Dinah's brother, changing the grammatical relationship."
GEN,35,21,"mistranslation: The Hebrew 'מֵהָלְאָה לְמִגְדַּל עֵדֶר' means 'beyond the tower of Eder' (i.e., past/on the other side of Migdal-eder), not 'from Harel to Migdal-eder'. The Chinese renders 'מֵהָלְאָה' as '從哈列' (from Harel), which misidentifies the prepositional phrase as a place name and changes the meaning."
GEN,35,22,"mistranslation: The Hebrew 'רְאוּבֵן' is the personal name 'Reuben', but the Chinese renders it as '流便支派' ('the tribe of Reuben'), adding '支派' (tribe) which is not in the Hebrew and changes the subject from the individual Reuben to a tribal entity."
GEN,36,2,"mistranslation: The Hebrew 'אֵילוֹן' is a personal name (Elon), not '樹林' (forest/grove). The Chinese renders 'בַּת אֵילוֹן הַֽחִתִּ֔י' as '赫人以倫樹林的女兒' which incorrectly adds '樹林' (forest) to the name Elon, changing the proper name into a place/landscape term."
GEN,36,11,"mistranslation: The Hebrew name 'תֵּימָן' (Teman) is a proper name, but the Chinese renders it as '南方' (south), which is a common-noun translation rather than a transliteration of the personal name. This changes the identity of the person."
GEN,36,22,"name_swap: The Hebrew has 'תִּמְנָע' (Timna) as Lotan's sister, but the Chinese renders it as '提幔' (Teman), which is a different name. The correct transliteration should be '亭納' or similar, not '提幔'."
GEN,36,23,"mistranslation: The Hebrew names עַלְוָ֥ן (Alvan), מָנַ֖חַת (Manahath), and עֵיבָ֑ל (Ebal) are personal names of Shobal's sons, but the Chinese renders them as '阿利安人' (Alvan people), '瑪拿轄' (Manahath, ambiguous but could be a place), and '以巴路山' (Mount Ebal), adding '人' (people) and '山' (mountain) which are not in the Hebrew and change the meaning from persons to places/peoples."
GEN,36,26,"name_swap: The Hebrew says 'the sons of Dishan' (בְּנֵי דִישָׁן), but the Chinese renders '底善人的兒子' which adds 人 ('people of Dishan') and then lists '黑馬丹人' (Hemdan people) with 人 added, whereas the Hebrew has no 人 on the names. More importantly, the Hebrew names are חֶמְדָּן (Hemdan), אֶשְׁבָּן (Eshban), יִתְרָן (Yithran), כְרָן (Keran); the Chinese gives 黑馬丹人 (Hemdan), 以實班 (Eshban), 益蘭 (Yithran), 基蘭 (Keran) — the first name has an unwarranted 人 suffix, and the others are acceptable transliterations. The main issue is the added 人 on '底善人' and '黑馬丹人', which changes the meaning from 'sons of Dishan' to 'people of Dishan' and 'Hemdan people'."
GEN,36,35,"mistranslation: The Hebrew says 'וְשֵׁם עִירוֹ עֲוִית' ('and the name of his city was Avith'), but the Chinese renders '他的城名是亞維斯人' ('the name of his city was the Avites people'), adding '人' (people) which changes the meaning from a city name to a people group."
GEN,36,39,"mistranslation: The Hebrew says 'בַּת מֵ֥י זָהָֽב' (daughter of Me-Zahab), but the Chinese renders it as '米薩合的孫女' (granddaughter of Me-Zahab). The Hebrew does not say 'granddaughter'; it says 'daughter' (בַּת). This changes the genealogical relationship."
GEN,40,10,"mistranslation: The Hebrew 'כְפֹרַחַת' means 'budding/blossoming', not '展開時像雛鳥' (when it spreads out like a fledgling bird). The Chinese adds an image of a bird ('雛鳥') that is not in the Hebrew, and '展開' (spread out) misrepresents the verb 'עָלְתָה' (it went up/ascended) and the participle 'כְפֹרַחַת' (budding). This changes the meaning of the verse."
GEN,41,1,"mistranslation: Hebrew 'מִקֵּץ שְׁנָתַיִם יָמִים' means 'at the end of two full years' (i.e., two years), but Chinese says '過了兩日' (after two days), changing the time period from years to days."
GEN,41,20,"mistranslation: The Hebrew 'הָרִאשֹׁנוֹת' means 'first' (i.e., the first seven cows), but the Chinese renders it as '頭生的' which means 'firstborn' — a different concept. The Hebrew does not say 'firstborn' but 'first' in sequence."
GEN,42,37,"mistranslation: The Hebrew says 'Reuben said to his father' (וַיֹּאמֶר רְאוּבֵן אֶל אָבִיו), but the Chinese renders '流便支派' (the tribe of Reuben) instead of the person Reuben. This changes the subject from an individual to a tribe."
GEN,43,34,"mistranslation: The Hebrew 'וַיִּשָּׂא מַשְׂאֹת מֵאֵת פָּנָיו אֲלֵהֶם' means 'he lifted up portions from before him to them' (i.e., he took portions from his own serving and sent/gave them to his brothers). The Chinese '從他面前拿走供物給他們' says 'took away the offerings from before him and gave them to them,' which reverses the direction: the Hebrew has Joseph giving portions from his own table to the brothers, not taking away offerings from them. This changes who is doing what to whom."
GEN,45,6,"mistranslation: The Hebrew phrase 'אֵין חָרִישׁ וְקָצִּיר' means 'no plowing and harvest' (i.e., no agricultural work or harvest), but the Chinese renders it as '沒有收割期與收割者' ('no harvest season and harvesters'), which adds '收割者' (harvesters) not present in the Hebrew and omits the concept of plowing ('חָרִישׁ'). This changes the meaning from 'no plowing and harvest' to 'no harvest season and harvesters'."
GEN,46,9,"name_swap: The Hebrew lists the sons of Reuben as חֲנוֹךְ (Hanoch), פַּלּוּא (Pallu), חֶצְרוֹן (Hezron), and כַּרְמִי (Carmi). The Chinese renders the second name as '帕路雅' (Paluya), which adds an extra syllable '雅' not present in the Hebrew 'פַּלּוּא' (Pallu). This is a name alteration, not just a stylistic choice, as it changes the proper name."
GEN,46,16,"name_swap: The Hebrew lists 'עֵרִי' (Eri) as the fifth son of Gad, but the Chinese renders it as '以利' (Eli), which is a different name (Eli, not Eri). The correct transliteration should be '以利' is actually 'Eli' in Hebrew (עֵלִי), whereas 'עֵרִי' is 'Eri' (以利 is a common rendering of Eli, but here it should be '以利' could be ambiguous; however, the Hebrew name is Eri, not Eli, so this is a name swap/mistranslation)."
GEN,46,21,"mistranslation: The Hebrew lists the sons of Benjamin as Bela, Becher, Ashbel, Gera, Naaman, Ehi, Rosh, Muppim, Huppim, and Ard. The Chinese renders 'Gera' as '革拉人' and 'Naaman' as '乃曼人', adding the suffix '人' (person/people) which is not in the Hebrew and could imply they are groups rather than individuals. Also, 'Rosh' is translated as '頭' (head) instead of being a proper name, which changes the meaning."
GEN,47,13,"mistranslation: The Hebrew phrase מִפְּנֵי הָרָעָב means 'because of the famine' (literally 'from the face of the famine'), but the Chinese renders it as '因饑荒的面' ('because of the face of the famine'), which adds the word '面' (face) that is not present in the Hebrew and changes the meaning to something nonsensical. The correct rendering should be '因饑荒' or '因為饑荒'."
GEN,47,24,"mistranslation: The Hebrew phrase לְזֶרַע הַשָּׂדֶה means 'for seed of the field' (i.e., seed for sowing the field), but the Chinese renders it as '田野的後裔' (descendants/offspring of the field), which changes the meaning from seed for planting to progeny/offspring."
GEN,49,5,"name_swap: Hebrew 'שִׁמְעוֹן' is Simeon, but Chinese renders '西門' (Simon/Ximen), a different name."
GEN,49,26,"mistranslation: The Hebrew 'תַּאֲוַת גִּבְעֹת עוֹלָם' means 'the desire of the everlasting hills' (i.e., the choicest blessings of the ancient hills), but the Chinese renders it as '永遠小山丘的情慾' ('the lust of the everlasting hills'), which changes the meaning from a positive blessing to a negative or sexual connotation, altering the verse's claim."
GEN,50,13,"mistranslation: The Hebrew says 'to the land of Canaan' (אַרְצָה כְּנַעַן), but the Chinese renders it as '由迦南人之地' (from the land of Canaan), reversing the direction. The sons carried him to Canaan, not from it."
EXO,1,2,"name_swap: The Hebrew lists the personal names 'Reuben, Simeon, Levi, and Judah' (רְאוּבֵן שִׁמְעוֹן לֵוִי וִיהוּדָה). The Chinese renders 'Reuben' as '流便支派' (the tribe of Reuben), adding '支派' (tribe) which is not in the Hebrew, and 'Simeon' as '西門' (correct), 'Levi' as '利未人' (the Levites/people of Levi), adding '人' (people) which is not in the Hebrew. These additions change the referents from individuals to tribal/group entities, which is a substantive difference in meaning."
EXO,1,14,"mistranslation: The Hebrew 'בְּפָרֶךְ' means 'with harshness/rigor' (referring to the harshness of the work imposed on the Israelites), but the Chinese renders it as '以殘酷對待活物' ('treating living creatures cruelly'), which adds the concept of 'living creatures' (活物) not present in the Hebrew and shifts the meaning from harsh labor to cruelty toward animals/beings."
EXO,2,21,"name_swap: The Hebrew name צִפֹּרָה (Zipporah) is rendered as 西比拉 (Sibila), which is a different name. The correct Chinese transliteration should be 西坡拉 or similar, not 西比拉."
EXO,4,25,"name_swap: The Hebrew name צִפֹּרָה (Zipporah) is rendered as 西比拉 (Sibylla), which is a different name. The correct transliteration should be 西坡拉 or similar.; mistranslation: The Hebrew צֹר (flint) is rendered as 推羅 (Tyre), which is a place name, not the object used. The correct rendering should be 火石 or 石刀.; mistranslation: The Hebrew לְרַגְלָיו (to his feet) is rendered as 他的腳掌 (the sole of his foot), which narrows the meaning. The Hebrew refers to the feet generally, not specifically the sole."
EXO,5,7,"mistranslation: The Hebrew 'לִלְבֹּן הַלְּבֵנִים' means 'to make bricks' (לְבֵנִים = bricks), but the Chinese renders it as '製作磚壇' (making brick altars), adding '壇' (altar) which is not in the Hebrew. This changes the meaning from making bricks to making brick altars."
EXO,7,3,"mistranslation: The Hebrew has two distinct terms: אֹתֹתַי ('my signs') and מוֹפְתַי ('my wonders/portents'). The Chinese renders both as '神蹟' (signs/miracles), collapsing the distinction. While this is a lexical choice, it loses the second distinct concept 'wonders' and could mislead a reader into thinking only one category is mentioned twice."
EXO,7,18,"addition: The Chinese adds '溪水也必變為血' (the stream water will also become blood), which is not present in the Hebrew text. The Hebrew only states that the fish will die and the river will stink (וּבָאַשׁ הַיְאֹר), not that it becomes blood.; mistranslation: The Hebrew 'וּבָאַשׁ הַיְאֹר' means 'and the river stank' or 'became foul', but the Chinese renders it as '變為血' (became blood), which is a different concept not in this verse.; omission: The Hebrew 'וְנִלְאוּ מִצְרַיִם לִשְׁתּוֹת מַיִם מִן הַיְאֹר' means 'and the Egyptians were weary/loathed to drink water from the river' — the Chinese says '因渴而無法' (because of thirst, unable), which adds the cause '因渴' (because of thirst) not in the Hebrew, and changes the nuance from 'loathed/weary' to 'unable'."
EXO,7,25,"omission: The Hebrew 'וַיִּמָּלֵא שִׁבְעַת יָמִים' (and seven days were fulfilled/completed) is rendered as '過了七日' (after seven days passed), which conveys the idea of seven days elapsing, but the verb 'מָלֵא' (was filled/completed) is not explicitly represented; however, the Chinese phrase '過了' (passed) is a close idiomatic rendering. The main issue is the omission of the subject 'הַיְאֹר' (the Nile/river) in the Chinese translation. The Hebrew states 'after Yahweh struck the Nile' (אַחֲרֵי הַכּוֹת יְהוָה אֶת הַיְאֹר), but the Chinese says '耶和華擊打溪之後' (after Yahweh struck the stream), dropping the definite object 'the Nile' and replacing it with '溪' (stream), which is a different noun and loses the specific reference to the Nile."
EXO,8,14,"mistranslation: Hebrew 'חֳמָרִם חֳמָרִם' means 'heaps upon heaps' (piles of frogs, from context), not '土塊' (clods of earth). The Chinese renders it as '土塊' (soil clods), which is a mistranslation of the noun; it should be '堆' or '堆積' (heaps/piles)."
EXO,8,22,"mistranslation: Hebrew עָרֹב means 'swarms of flies' (or a mixed swarm), not '蝗蟲' (locusts). This changes the specific plague described."
EXO,14,7,"mistranslation: The Hebrew 'וְשָׁלִשִׁם עַל כֻּלּוֹ' means 'and officers over all of it' (i.e., officers over all the chariots), not 'three men on each chariot'. The Chinese rendering '每輛戰車上的三個人' (three men on each chariot) misinterprets 'שָׁלִשִׁם' (officers/third-men) as a numeral 'three' and changes the meaning."
EXO,18,11,"addition: The Chinese adds '祂施行了拯救' (He performed salvation/deliverance), which has no basis in the Hebrew text. The Hebrew ends with 'because in the matter in which they acted arrogantly against them' (כִּי בַדָּבָר אֲשֶׁר זָדוּ עֲלֵיהֶם), with no mention of salvation or deliverance."
EXO,18,16,"mistranslation: The Hebrew 'וְהוֹדַעְתִּי אֶת חֻקֵּי הָאֱלֹהִים וְאֶת תּוֹרֹתָיו' means 'and I will make known the statutes of God and His laws' — the statutes and laws belong to God (אֱלֹהִים). The Chinese renders '神的律法和我的律例' ('God's laws and my statutes'), incorrectly attributing the statutes (חֻקֵּי) to the speaker ('my') instead of to God. This changes the ownership of the statutes."
EXO,21,22,"mistranslation: The Hebrew says 'men fight' (אֲנָשִׁים, plural men) and one strikes a pregnant woman; the Chinese says 'two men fight' (兩個人爭鬥) and 'struck a pregnant wife' (擊打了一個懷孕的妻子). The Chinese adds 'two' (兩個) which is not in the Hebrew, and changes 'men' (plural, indefinite) to 'two men'. Also, the Hebrew has 'her children come out' (וְיָצְאוּ יְלָדֶיהָ) — the Chinese says 'her children fall out' (她的兒女墜落), which is a minor semantic shift but acceptable. The main issue is the addition of 'two' and the change from 'men' to 'two men', which alters the scenario."
EXO,21,32,"addition: The Chinese adds '牛的主人須賠償' (the owner of the ox must compensate), but the Hebrew only says 'he shall give silver thirty shekels to his master' (יִתֵּן לַאדֹנָיו) — the subject is the owner of the ox implied, but the phrase '牛的主人' is an explicit addition not in the Hebrew; however, this is a natural clarification and does not change the meaning. More significantly, the Chinese says '給死者的主人' (to the master of the dead person), but the Hebrew says 'לַאדֹנָיו' (to his master) — the antecedent of 'his' is the slave or maidservant's master, not 'the dead person's master' — this is a mistranslation of the possessive pronoun, changing who receives the payment."
EXO,22,1,"mistranslation: The Hebrew specifies 'five oxen' (חֲמִשָּׁה בָקָר) and 'four sheep' (אַרְבַּע צֹאן), but the Chinese renders '五對牲畜' (five pairs of livestock) and '四對羊群' (four pairs of flocks), adding '對' (pairs) which is not in the Hebrew and changes the number from five/four individual animals to five/four pairs, doubling the count."
EXO,23,14,"mistranslation: The Hebrew 'רְגָלִים' (regalim) means 'festivals' or 'pilgrimage festivals' (from the root רגל, 'to go on foot' or 'to celebrate a festival'), not '腳掌' (soles of the feet). The Chinese rendering '三次腳掌的節期' incorrectly translates 'רְגָלִים' as 'feet/soles' instead of 'festivals/pilgrimages', changing the meaning from 'three festivals' to 'three festivals of the soles of the feet'."
EXO,24,4,"mistranslation: Hebrew 'שִׁבְטֵי יִשְׂרָאֵל' means 'tribes of Israel', but Chinese renders '以色列的十二個杖' ('twelve staffs of Israel'), which is a mistranslation of 'tribes' as 'staffs' (杖). This changes the meaning from tribal divisions to literal staffs."
EXO,25,13,"mistranslation: The Hebrew 'בַדֵּי' (poles/staves) is translated as '獨自' (alone/by oneself), which is a mistranslation. The correct meaning is 'poles' or 'staves' for carrying the ark/table. This changes the factual content."
EXO,25,31,"mistranslation: Hebrew כַּפְתֹּרֶיהָ means 'its knobs/capitals' (ornamental knobs on the lampstand), but Chinese renders it as 門楣 ('lintel/door frame'), which is a different object not present in the Hebrew."
EXO,25,37,"mistranslation: Hebrew 'עֵבֶר פָּנֶיהָ' means 'the space in front of it' (i.e., the lampstand's front side), not '以巴衛的面' which appears to be a transliteration error or misreading; 'עֵבֶר' is 'side/region', not a proper name."
