category,policy,ref,book_num,book,chapter,verse,path,old,new
ot_english_name_cleanup_review_before_chinese,,2SA 18:29,010,2SA,18,29,GOI_Bible_English/010_2SA_018_029_GOI_En.txt,"The king said, ""Is the young man Absalom safe?"" And Ahimaaz answered, ""When I saw the great tumult, I did not know what had happened.""","The king said, ""Is the young man Absalom safe?"" And Ahimaaz answered, ""When Joab sent the king's servant and me your servant, I saw the great tumult, but I did not know what had happened."""
ot_english_name_cleanup_review_before_chinese,,2SA 20:25,010,2SA,20,25,GOI_Bible_English/010_2SA_020_025_GOI_En.txt,scribe and Zadok and Abiathar priests,"Sheva was scribe, and Zadok and Abiathar were priests."
ot_english_name_cleanup_review_before_chinese,,2SA 21:16,010,2SA,21,16,GOI_Bible_English/010_2SA_021_016_GOI_En.txt,"At Nob, the home-born of the giant, whose spear weighed three hundred [units of] brass by weight, and he was girded with a new sword, he said to strike David.","Ishbi-benob, one of the sons of the giant, whose spear weighed three hundred [units of] brass by weight, and who was girded with a new sword, said he would strike David."
ot_english_name_cleanup_review_before_chinese,,2SA 24:18,010,2SA,24,18,GOI_Bible_English/010_2SA_024_018_GOI_En.txt,"Gad came to David that day and said to him, ""Go up, build an altar to the LORD at the threshing floor of the Jebusite.""","Gad came to David that day and said to him, ""Go up, build an altar to the LORD at the threshing floor of Araunah the Jebusite."""
ot_english_name_cleanup_review_before_chinese,,1KI 1:47,011,1KI,1,47,GOI_Bible_English/011_1KI_001_047_GOI_En.txt,"And also the servants of the king came to bless our lord King David, saying, May the name of Solomon be better than your name, and may his throne be greater than your throne, and the king bowed on the bed.","And also the servants of the king came to bless our lord King David, saying, ""May your God make the name of Solomon better than your name, and make his throne greater than your throne."" And the king bowed on the bed."
ot_english_name_cleanup_review_before_chinese,,1KI 10:2,011,1KI,10,2,GOI_Bible_English/011_1KI_010_002_GOI_En.txt,"And she came to Jerusalem with a very great retinue, camels bearing spices and much gold and precious stones, and she spoke to him all that was on her mind.","And she came to Jerusalem with a very great retinue, camels bearing spices and much gold and precious stones, and when she came to Solomon, she spoke to him all that was on her mind."
ot_english_name_cleanup_review_before_chinese,,2KI 5:20,012,2KI,5,20,GOI_Bible_English/012_2KI_005_020_GOI_En.txt,"Gehazi, Elisha's servant, said, ""Look, my lord has let this Syrian Naaman off lightly by not accepting from his hand what he brought; as the LORD lives, I will run after him and take something from him.""","Gehazi, the servant of Elisha the man of God, said, ""Look, my lord has let this Syrian Naaman off lightly by not accepting from his hand what he brought; as the LORD lives, I will run after him and take something from him."""
ot_english_name_cleanup_review_before_chinese,,2KI 11:7,012,2KI,11,7,GOI_Bible_English/012_2KI_011_007_GOI_En.txt,"and all of you who go out on the sabbath shall be on duty, keeping the watch of the temple for the king.","and all of you who go out on the sabbath shall be on duty, keeping the watch of the house of the LORD around the king."
ot_english_name_cleanup_review_before_chinese,,2KI 17:31,012,2KI,17,31,GOI_Bible_English/012_2KI_017_031_GOI_En.txt,"And the Avims made Nibhaz and Tartak, and the Sepharvites burned their children in the fire to Adrammelech and Anammelech.","And the Avims made Nibhaz and Tartak, and the Sepharvites burned their children in the fire to Adrammelech and Anammelech, the gods of Sepharvaim."
ot_english_name_cleanup_review_before_chinese,,2KI 21:7,012,2KI,21,7,GOI_Bible_English/012_2KI_021_007_GOI_En.txt,"And he set the carved (graven) image, which he had made, in the temple, of which the LORD said to David and to Solomon his son, ""In this temple and in Jerusalem, which I have chosen out of all the tribes of Israel, I will put my name forever.""","And he set the carved (graven) image of Asherah, which he had made, in the temple, of which the LORD said to David and to Solomon his son, ""In this temple and in Jerusalem, which I have chosen out of all the tribes of Israel, I will put my name forever."""
ot_english_name_cleanup_review_before_chinese,,2KI 23:33,012,2KI,23,33,GOI_Bible_English/012_2KI_023_033_GOI_En.txt,Pharaohnecho imprisoned him at Riblah in the land of Hamath and imposed on the land a tribute of one hundred talents of silver and one talent of gold.,"Pharaohnecho imprisoned him at Riblah in the land of Hamath, so that he might not reign in Jerusalem, and imposed on the land a tribute of one hundred talents of silver and one talent of gold."
ot_english_name_cleanup_review_before_chinese,,1CH 2:25,013,1CH,2,25,GOI_Bible_English/013_1CH_002_025_GOI_En.txt,"The sons of Jerahmeel, the firstborn, were Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahiah.","The sons of Jerahmeel, the firstborn of Hezron, were Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahiah."
ot_english_name_cleanup_review_before_chinese,,1CH 4:20,013,1CH,4,20,GOI_Bible_English/013_1CH_004_020_GOI_En.txt,"The sons of Shimon: Amnon and Rinnah, Ben-hanan and the sons of Ishi: Zoheth and Ben-zoketh.","The sons of Shimon: Amnon and Rinnah, Ben-hanan and Tilon. And the sons of Ishi: Zoheth and Ben-zoketh."
ot_english_name_cleanup_review_before_chinese,,1CH 6:78,013,1CH,6,78,GOI_Bible_English/013_1CH_006_078_GOI_En.txt,"Beyond the Jordan, east of the Jordan, from the tribe of Reuben, Bezer in the wilderness with its suburbs, and Jahazah with its suburbs.","Beyond the Jordan at Jericho, east of the Jordan, from the tribe of Reuben, Bezer in the wilderness with its suburbs, and Jahazah with its suburbs."
ot_english_name_cleanup_review_before_chinese,,1CH 9:4,013,1CH,9,4,GOI_Bible_English/013_1CH_009_004_GOI_En.txt,Uthai son of Ammihud son of Omri son of Imri son of Benjamin son of Perez son of Judah.,"Uthai son of Ammihud son of Omri son of Imri son of Bani, of the children of Perez son of Judah."
ot_english_name_cleanup_review_before_chinese,,1CH 9:35,013,1CH,9,35,GOI_Bible_English/013_1CH_009_035_GOI_En.txt,"And at Gibeon dwelt the father of Gibeon, and the name of his wife was Maacah.","And at Gibeon dwelt Jeiel, the father of Gibeon, and the name of his wife was Maacah."
ot_english_name_cleanup_review_before_chinese,,1CH 14:1,013,1CH,14,1,GOI_Bible_English/013_1CH_014_001_GOI_En.txt,"Then the king of Tyre sent ambassadors to David, with cedar timbers, stone masons, and carpenters to build him a house.","Then Hiram king of Tyre sent ambassadors to David, with cedar timbers, stone masons, and carpenters to build him a house."
ot_english_name_cleanup_review_before_chinese,,1CH 15:11,013,1CH,15,11,GOI_Bible_English/013_1CH_015_011_GOI_En.txt,"David summoned Zad0k and Abiathar the priests, and to the Levites, to Uriel, Asaiah, Joel, Shemaiah, Eliel, and Amminadab.","David summoned Zadok and Abiathar the priests, and to the Levites, to Uriel, Asaiah, Joel, Shemaiah, Eliel, and Amminadab."
ot_english_name_cleanup_review_before_chinese,,1CH 24:24,013,1CH,24,24,GOI_Bible_English/013_1CH_024_024_GOI_En.txt,"The sons of Uzziel: Micah, and the sons of Micah.","The sons of Uzziel: Micah, and of the sons of Micah, Shamir."
ot_english_name_cleanup_review_before_chinese,,2CH 9:29,014,2CH,9,29,GOI_Bible_English/014_2CH_009_029_GOI_En.txt,"And the rest of the words of Solomon, the earlier and the later, are they not written in the chronicles of Nathan the prophet, and in the prophecy of Ahijah the Shilonite, and in the visions of the seer concerning Jeroboam son of Nebat?","And the rest of the words of Solomon, the earlier and the later, are they not written in the chronicles of Nathan the prophet, and in the prophecy of Ahijah the Shilonite, and in the visions of Iddo the seer concerning Jeroboam son of Nebat?"
ot_english_name_cleanup_review_before_chinese,,2CH 18:8,014,2CH,18,8,GOI_Bible_English/014_2CH_018_008_GOI_En.txt,"The king of Israel called to a certain chamberlain and said, ""Hurry, bring me Ben-Imla.""","The king of Israel called to a certain chamberlain and said, ""Hurry, bring me Micaiah son of Imla."""
ot_english_name_cleanup_review_before_chinese,,2CH 29:13,014,2CH,29,13,GOI_Bible_English/014_2CH_029_013_GOI_En.txt,"and from the sons of Elizaphan, Shimri, and from the sons of Asaph, Zachariah and Mattaniah.","and from the sons of Elizaphan, Shimri and Jeiel, and from the sons of Asaph, Zachariah and Mattaniah."
ot_english_name_cleanup_review_before_chinese,,2CH 34:22,014,2CH,34,22,GOI_Bible_English/014_2CH_034_022_GOI_En.txt,"Hillkiah and the royal party went to Huldah the prophetess, wife of Shallum son of Hasrah, keeper of the wardrobe, who resided in Jerusalem in the college, and they spoke to her accordingly.","Hillkiah and the royal party went to Huldah the prophetess, wife of Shallum son of Tokhath, son of Hasrah, keeper of the wardrobe, who resided in Jerusalem in the college, and they spoke to her accordingly."
ot_english_name_cleanup_review_before_chinese,,EZR 8:14,015,EZR,8,14,GOI_Bible_English/015_EZR_008_014_GOI_En.txt,"And from the sons of Bigvai, Uthai and his companions, seventy males.","And from the sons of Bigvai, Uthai and Zabbud, and his companions, seventy males."
ot_english_name_cleanup_review_before_chinese,,EZR 10:35,015,EZR,10,35,GOI_Bible_English/015_EZR_010_035_GOI_En.txt,Benaiah the son of Bedeiah.,"Benaiah, Bedeiah, Chelluh."
ot_english_name_cleanup_review_before_chinese,,EZR 10:43,015,EZR,10,43,GOI_Bible_English/015_EZR_010_043_GOI_En.txt,"Of the sons of Nebo: Jeiel, Mattithiah, Zabad, Zebina, Joel, and Benaiah.","Of the sons of Nebo: Jeiel, Mattithiah, Zabad, Zebina, Iddo, Joel, and Benaiah."
ot_english_name_cleanup_review_before_chinese,,NEH 10:17,016,NEH,10,17,GOI_Bible_English/016_NEH_010_017_GOI_En.txt,Ater fortified Hezekiah.,"Ater, Hezekiah, Azzur."
ot_english_name_cleanup_review_before_chinese,,NEH 12:9,016,NEH,12,9,GOI_Bible_English/016_NEH_012_009_GOI_En.txt,And Bakbukiah's kindred were opposite them for the watch.,"And Bakbukiah and Unni, their kindred, were opposite them for the watch."
ot_english_name_cleanup_review_before_chinese,,NEH 12:14,016,NEH,12,14,GOI_Bible_English/016_NEH_012_014_GOI_En.txt,"Jonathan, Shebaniah, Joseph.","Of Malluch, Jonathan; of Shebaniah, Joseph."
ot_english_name_cleanup_review_before_chinese,,NEH 12:16,016,NEH,12,16,GOI_Bible_English/016_NEH_012_016_GOI_En.txt,"Zachariah to Ginnetho, Meshullam.","Of Iddo, Zachariah; of Ginnetho, Meshullam."
ot_english_name_cleanup_review_before_chinese,,EST 10:1,017,EST,10,1,GOI_Bible_English/017_EST_010_001_GOI_En.txt,The king imposed a levy on the land and the islands of the sea.,King Ahasuerus imposed a levy on the land and the islands of the sea.
ot_english_name_cleanup_review_before_chinese,,PSA 39:1,019,PSA,39,1,GOI_Bible_English/019_PSA_039_001_GOI_En.txt,"For the music director, a psalm of David. I said, I will guard my ways from sinning with my tongue; I will guard the opening of my mouth with a bridle, while the wicked is before me.","For the music director, to Jeduthun, a psalm of David. I said, I will guard my ways from sinning with my tongue; I will guard the opening of my mouth with a bridle, while the wicked is before me."
ot_english_name_cleanup_review_before_chinese,,PSA 70:1,019,PSA,70,1,GOI_Bible_English/019_PSA_070_001_GOI_En.txt,"God, to deliver me; LORD, make haste to my help.","Of David, to bring to remembrance. God, to deliver me; LORD, make haste to my help."
ot_english_name_cleanup_review_before_chinese,,PSA 77:1,019,PSA,77,1,GOI_Bible_English/019_PSA_077_001_GOI_En.txt,"For the director of music, by Asaph, a psalm. My voice to God and I cry aloud, my voice to God and He listens to me.","For the director of music, to Jeduthun, by Asaph, a psalm. My voice to God and I cry aloud, my voice to God and He listens to me."
ot_english_name_cleanup_review_before_chinese,,PSA 78:56,019,PSA,78,56,GOI_Bible_English/019_PSA_078_056_GOI_En.txt,"They tested and rebelled against the LORD, the Most High, and did not keep his testimonies.","They tested and rebelled against the Most High God, and did not keep his testimonies."
ot_english_name_cleanup_review_before_chinese,,ECC 12:13,021,ECC,12,13,GOI_Bible_English/021_ECC_012_013_GOI_En.txt,"The conclusion of the matter: all has been heard. Fear the LORD and keep his commandments, for this is the whole of humanity.","The conclusion of the matter: all has been heard. Fear God and keep his commandments, for this is the whole of humanity."
ot_english_name_cleanup_review_before_chinese,,ISA 15:1,023,ISA,15,1,GOI_Bible_English/023_ISA_015_001_GOI_En.txt,"A prophecy concerning Moab: in one night the city of Moab is destroyed, in one night Kir of Moab is destroyed.","A prophecy concerning Moab: in one night Ar of Moab is destroyed, in one night Kir of Moab is destroyed."
ot_english_name_cleanup_review_before_chinese,,JER 5:14,024,JER,5,14,GOI_Bible_English/024_JER_005_014_GOI_En.txt,"Therefore, thus says the LORD of hosts: Because you have spoken this word, behold, I will make my words in your mouth a fire, and this people the wood, and it shall consume them.","Therefore, thus says the LORD God of hosts: Because you have spoken this word, behold, I will make my words in your mouth a fire, and this people the wood, and it shall consume them."
ot_english_name_cleanup_review_before_chinese,,JER 25:9,024,JER,25,9,GOI_Bible_English/024_JER_025_009_GOI_En.txt,"Behold, I am sending and will take all the families of the north, declares the LORD, and will bring them against this land and against its inhabitants and against all these nations around it; and I will utterly destroy them, and make them a desolation and a hissing and perpetual waste places.","Behold, I am sending and will take all the families of the north, declares the LORD, and Nebuchadnezzar king of Babylon, my servant, and will bring them against this land and against its inhabitants and against all these nations around it; and I will utterly destroy them, and make them a desolation and a hissing and perpetual waste places."
ot_english_name_cleanup_review_before_chinese,,JER 26:18,024,JER,26,18,GOI_Bible_English/024_JER_026_018_GOI_En.txt,"The Morashthite was prophesying in the days of Hezekiah king of Judah, and he said to all the people of Judah: Thus says the LORD of hosts: Zion shall be plowed as a field, and Jerusalem shall become heaps, and the mountain of the temple as the high places of a forest.","Micah the Morashthite was prophesying in the days of Hezekiah king of Judah, and he said to all the people of Judah: Thus says the LORD of hosts: Zion shall be plowed as a field, and Jerusalem shall become heaps, and the mountain of the temple as the high places of a forest."
ot_english_name_cleanup_review_before_chinese,,JER 39:6,024,JER,39,6,GOI_Bible_English/024_JER_039_006_GOI_En.txt,"The king of Babylon slaughtered the sons of Zedekiah before his eyes, and all the nobles of Judah the king of Babylon slaughtered.","The king of Babylon slaughtered the sons of Zedekiah at Riblah before his eyes, and all the nobles of Judah the king of Babylon slaughtered."
ot_english_name_cleanup_review_before_chinese,,JER 41:3,024,JER,41,3,GOI_Bible_English/024_JER_041_003_GOI_En.txt,"And all the Jews who were with him at Mizpah, and the Chaldeans who were found there, even the men of war, Ishmael struck down.","And all the Jews who were with Gedaliah at Mizpah, and the Chaldeans who were found there, even the men of war, Ishmael struck down."
ot_english_name_cleanup_review_before_chinese,,JER 41:16,024,JER,41,16,GOI_Bible_English/024_JER_041_016_GOI_En.txt,"Johanan son of Careah and all the captains of the forces who were with him took all the remnant of the people whom they had brought back from Mizpah, after he had struck Gedaliah son of Ahikam, men, women, children, and officers whom they had brought back from Gibeon.","Johanan son of Careah and all the captains of the forces who were with him took all the remnant of the people whom he had recovered from Ishmael son of Nethaniah, from Mizpah, after he had struck Gedaliah son of Ahikam, men, women, children, and officers whom they had brought back from Gibeon."
ot_english_name_cleanup_review_before_chinese,,JER 41:17,024,JER,41,17,GOI_Bible_English/024_JER_041_017_GOI_En.txt,"They went and lived in the habitation which was by Bethlehem, to go down to Egypt.","They went and lived in the habitation of Chimham, which was by Bethlehem, to go down to Egypt."
ot_english_name_cleanup_review_before_chinese,,JER 48:44,024,JER,48,44,GOI_Bible_English/024_JER_048_044_GOI_En.txt,"Because of the fear they will fall into the pit, and the one who climbs out of the pit will be caught in the snare; for I will bring upon them the year of their visitation, says the LORD.","Because of the fear they will fall into the pit, and the one who climbs out of the pit will be caught in the snare; for I will bring upon Moab the year of their visitation, says the LORD."
ot_english_name_cleanup_review_before_chinese,,EZK 14:20,026,EZK,14,20,GOI_Bible_English/026_EZK_014_020_GOI_En.txt,"But Noah and Job in the midst of her, as I live, declares the Lord GOD, neither son nor daughter shall they deliver; they by their righteousness shall deliver their own souls.","But Noah, Daniel, and Job in the midst of her, as I live, declares the Lord GOD, neither son nor daughter shall they deliver; they by their righteousness shall deliver their own souls."
ot_english_name_cleanup_review_before_chinese,,EZK 27:19,026,EZK,27,19,GOI_Bible_English/026_EZK_027_019_GOI_En.txt,"Vedan and Javan gave goods in your wares; wrought iron, cassia, and cane were traded in your market.","Vedan and Javan from Uzal gave goods in your wares; wrought iron, cassia, and cane were traded in your market."
ot_english_name_cleanup_review_before_chinese,,EZK 28:3,026,EZK,28,3,GOI_Bible_English/026_EZK_028_003_GOI_En.txt,"Behold, you are wise—there is no secret that confounds you.","Behold, you are wiser than Daniel—there is no secret that confounds you."
ot_english_name_cleanup_review_before_chinese,,HOS 6:9,028,HOS,6,9,GOI_Bible_English/028_HOS_006_009_GOI_En.txt,"And as troops of robbers wait for a man, so the company of priests murder in the way by consent; for they commit lewdness.","And as troops of robbers wait for a man, so the company of priests murder on the way toward Shechem by consent; for they commit lewdness."
ot_english_name_cleanup_review_before_chinese,,AMO 5:26,030,AMO,5,26,GOI_Bible_English/030_AMO_005_026_GOI_En.txt,"You shall take up the tabernacle of your Molech, and the image of your vain shew, the star of your god, whom you made for yourselves.","You shall take up the tabernacle of your Molech and Chiun, the image of your vain shew, the star of your god, whom you made for yourselves."
nt_textual_policy_apply_to_chinese,supplemental_doxology,MAT 6:13,040,MAT,6,13,GOI_Bible_English/040_MAT_006_013_GOI_En.txt,"And do not bring us into temptation, but deliver us from the evil one, for yours is the kingdom and the power and the glory to the ages. Amen.","And do not bring us into temptation, but deliver us from the evil one{, for yours is the kingdom and the power and the glory to the ages. Amen.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:9,041,MRK,16,9,GOI_Bible_English/041_MRK_016_009_GOI_En.txt,"Having risen early on the first day of the Sabbath, he appeared first to Mary Magdalene, from whom he had cast out seven demons.","{Having risen early on the first day of the Sabbath, he appeared first to Mary Magdalene, from whom he had cast out seven demons.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:10,041,MRK,16,10,GOI_Bible_English/041_MRK_016_010_GOI_En.txt,"She went and reported to those who had been with him, as they were mourning and weeping.","{She went and reported to those who had been with him, as they were mourning and weeping.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:11,041,MRK,16,11,GOI_Bible_English/041_MRK_016_011_GOI_En.txt,"But they, having heard that he was alive and had been beheld by her, disbelieved.","{But they, having heard that he was alive and had been beheld by her, disbelieved.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:12,041,MRK,16,12,GOI_Bible_English/041_MRK_016_012_GOI_En.txt,"After these things he was revealed in a different form to two of them as they were walking, going into the countryside.","{After these things he was revealed in a different form to two of them as they were walking, going into the countryside.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:13,041,MRK,16,13,GOI_Bible_English/041_MRK_016_013_GOI_En.txt,"And when they had departed, they reported to the remaining, but they did not believe even them.","{And when they had departed, they reported to the remaining, but they did not believe even them.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:14,041,MRK,16,14,GOI_Bible_English/041_MRK_016_014_GOI_En.txt,"Later, while they were reclining, he revealed himself to the eleven and reproached their unbelief and hardness of heart, because they did not believe those who had beheld him raised.","{Later, while they were reclining, he revealed himself to the eleven and reproached their unbelief and hardness of heart, because they did not believe those who had beheld him raised.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:15,041,MRK,16,15,GOI_Bible_English/041_MRK_016_015_GOI_En.txt,"And he said to them, ""Go into all the world and preach the gospel to all creation.""","{And he said to them, ""Go into all the world and preach the gospel to all creation.""}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:16,041,MRK,16,16,GOI_Bible_English/041_MRK_016_016_GOI_En.txt,"The one who believes and is baptized will be saved, but the one who disbelieves will be condemned.","{The one who believes and is baptized will be saved, but the one who disbelieves will be condemned.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:17,041,MRK,16,17,GOI_Bible_English/041_MRK_016_017_GOI_En.txt,And these signs will attain to those who believe: in my name they will cast out demons; they will speak in new tongues.,{And these signs will attain to those who believe: in my name they will cast out demons; they will speak in new tongues.}
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:18,041,MRK,16,18,GOI_Bible_English/041_MRK_016_018_GOI_En.txt,"They will take up serpents, and if they drink anything deadly, it will not hurt them; they will lay hands on the sick, and they will have good health.","{They will take up serpents, and if they drink anything deadly, it will not hurt them; they will lay hands on the sick, and they will have good health.}"
nt_textual_policy_apply_to_chinese,supplemental_long_mark_ending,MRK 16:19,041,MRK,16,19,GOI_Bible_English/041_MRK_016_019_GOI_En.txt,"Then the Lord, after speaking to them, was taken up into heaven and sat at the right hand of God.","{Then the Lord, after speaking to them, was taken up into heaven and sat at the right hand of God.}"
